short_answers,responses,matches
"The Nova Scotia government, The federal government",The Canadian Coast Guard took control,0
Over 360 locations in 23 states,"Over 500 locations.

##",0
Friday,"The term ""bye, Fel",0
Profiling the criminal,They are a FBI Profiler,0
Tim Allen,"Michael Keaton. 
Answer",0
"French composer Michel Legrand, Americans Alan and Marilyn Bergman","Leonard Bernstein. 

Answer the",0
Reasonable suspicion,"No.
Answer the question conc",0
Andrews Air Force Base,"Andrews Air Force Base, Joint",1
Prometheus in Henry Wadsworth Longfellow's poem `` The Masque of Pandora '',Aeschylus. (,0
King George III,"King George III. 
The",1
Cruise Director,"Cruise director. 
Julie",1
Juliet,Romeo. From Romeo and Juliet,1
Teresa Bray ton,"Dominic Behan. 
Answer",0
"Legal only for medicinal purposes, Only under conditions outlined in the Access to Cannabis for Medical Purposes Regulations (ACM PR) .","In Canada, the use,",0
2014,"2014. 
S",1
Divergent plate boundary,"divergent
Answer the question",0
Kevin Dillon,Donnie Wahlberg.,0
Uterine siblings or maternal half - brothers / half - sisters,"You are half siblings.
Answer",0
Kansas -- Nebraska Act of 1854,The US acquired Kansas and Nebraska,0
Lithuania,"Armenia.
Which of the following",0
Developing mixed economy,"Mixed economy.

## Step",0
Andrew Jackson,"Andrew Jackson. 
Andrew Jackson",1
Six aircraft carriers,Wake Island and the Marshall Islands,0
The early 1990s,"1998.
What were",0
thyroid,"Leukaemia.
Answer the",0
"Bartlesville and Pachuca, Oklahoma, Los Angeles, California","Tulsa, Oklahoma, and Paw",0
Eliza Gladys `` Milling '' Dean,Millvina Dean.,0
Remarkable consensus on the court,Civil Rights. What did the,0
Interference of light reflecting off the front and back surfaces of the thin soap film,diffraction of light. Step,0
Burl Ives,Ben Gazzara.,0
Scottish rock band Simple Minds,"Simple Minds. 
What is",0
"June, 2017","2017. 
The",0
Bradford,"John Bradford.
Answer the question",1
Jawaharlal Nehru,Atal Bihari V,0
`` Margot '' Kidder,"Margot Kidder.
Answer",0
"Around, 000 years ago",1700s. However,0
three,364. Answer the question,0
Meghan ORY,Ginnifer Goodwin.,0
Vice president,The Vice President. Answer the,1
"Florida, Hawaii, California","California, Florida, Hawaii,",0
2022,"Beijing, China.
Beijing",0
"Mars symbol, Venus symbol",The symbols for male and female,0
Chimera,A Chimera. What do,1
1776,"1776. 
The",1
2015,"June 21, 201",0
50 km (30 mi),31 kilometers. Answer the,0
Zoe Boyle,"Maggie Siff. 
The",0
Australia,Africa. Note: This answer,0
"Cnidaria, Echinoderm",Echinodermata and,0
Began in August 2006,2009. What is,0
William Hart,"Luke Hemsworth.
Answer the",0
Atalanta,"Theseus.
Answer the question",0
Dr Tolerant Adele,Idiat Adebule.,0
"Louisville, Kentucky","Philadelphia, Pennsylvania.

Answer the",0
Robert Browning,"Robert Frost.
Who wrote """,0
A reigning Catholic queen or princess,Only the Pope and his closest,0
"In Article I, Section of the United States Constitution","Article I, Section 8",0
1992,1992. Answer the,1
Farah Zane Abdullah,Öykü Karayel,0
Eden Her,H. Jon Benjamin.,0
"What First Amendment protection is owed to student speech, And how courts should analyze its censorship",Whether a state court had jurisdiction,0
Guy Garvey,"John Bishop. 
Answer the",0
Jimmy Matthews,Wasim Akram. Was,0
"Chris Luca, Alex Bryan",Team Uchenna and Joyce,0
Bowling For Soup,The Backyardigans. who,0
"Protection from predation, As pesticides, Regulating plant growth",Tannins act as a,0
Mostly targets the latissimus dorsi muscle of the back along with other assisting muscles.,"Latissimus Dorsi,",0
Union Shield,The Lincoln Memorial. The Lincoln,0
2018,"April 28, 202",0
Manipur,"Manipur. 
Answer the",1
"Gives the President of the United States the authority to, By presidential proclamation, Create national monuments from federal lands to protect significant natural, cultural, Or scientific features",To protect the country's historical,0
phylogenetic,"common descent.
Answer the question",0
Todd Hill,"Todt Hill.
Tod",0
John Stuart Mill,Alexis de Tocqueville,0
A British force led by Major General Robert Ross,"British troops.
Who burned the",0
1952,"1952.
What is",1
At the south-west corner of the Acropolis to the right of the entrance,"Athens, Greece. 
The",0
Bill Thompson,"Richard Haydn. 

Who",0
The Eagles,"The New York Giants.
The",0
Physician George Huntington,"The name ""Huntington",0
Alan Sidney Patrick Hickman,"Alan Rickman.
Answer the",0
Kali King,"Freddie Highmore. 
Answer",0
He does not tell anyone else of her,If he goes to the castle,0
The executive branch of the government of the United States,The President of the United States,0
Andy Griffith,Dick Van Dyke.,0
"Federal Reserve, The Fed","Central Bank.
Answer the question",0
"Some of the most illustrious Italians, Michelangelo, Galileo, Machiavelli, Poet Solo, Philosopher Gentile, Composer Rossini","Michelangelo, Galileo,",1
Camp Crystal Lake,Camp Crystal Lake. Source:,1
New Delhi,Red Fort in Delhi. <,0
2010,"2006. 
When",0
Maryland,"Delaware. 
Answer the question",0
Feb-18,"TBC.
Answer the question",0
"Derived from a fan contest, But also from Mayor Battle, Who 35 years prior, Founded the Native American - based honor society known as The Tribe of Mic - O - Say within the Boy Scouts of America organization, Which earned him the nickname, `` The Chief. ''",They are named after the Kansas,0
A dwarf warrior,Gimli is a dwarf warrior,1
"In Central and Western District, On the north shore of Hong Kong Island, Across Victoria Harbor from Trim SHA Sui, The southernmost point of Kowloon Peninsula","Central.

## Step 1",0
United States Military Academy,"Army.

## Step 1",0
National Bank for Agriculture and Rural Development,No Action But Action Required Daily,0
From about am to dusk,1066 October 14,0
Michael Crawford,"Michael Crawford. 
Who played",1
Polonius,"Claudius. 
The question",0
Robert Ricardo,"Robert Beltran. 
Robert",0
597 BCE,"586 bce.
The",0
"Monday through Wednesday, With one episode taped at 12 : 00 pm and another at : 00 pm",They film The Price is Right,0
"You have saved our lives, We are eternally grateful, ''",To infinity and beyond. Answer,0
Eastern Conference,Kareem Abdul-Jabbar,0
"Them Bell, Linda Creed",Max Martin. who wrote stop,0
Referred itch,Yes. It is called syn,0
"The series was won by pianist Tokyo Myers, With magician ISSN Simpson coming in second, And stand - up comedian Dali so Sharonda placing third.",The final contestants were:,0
Wilt Chamberlain,Wilt Chamberlain.,1
Dan Stevens,"Ariana Grande. 
Who",0
2010,"2012. 
Answer",0
hydrocarbon,C-C and C-H bonds,0
Systematic errors,"Instrument errors.

## Step",0
2018,There is no official release date,0
Jennifer Hidden,"Julia Wolfe.
Julia Wolfe",0
Yogi State,Kogi. 0,0
Sarah Chalk,Cobie Smulders.,0
"Wednesday, September 20","September 20, 201",0
Giants,Daniel Jones. The final answer,0
In the last or first week of the year,31st December at,0
16 teams,"16
The Little League",0
Jack Pearson,Jack Pearson. Who does Milo,1
Every seven points,When the score is 21,0
Steve Goodman,"Gary US Bonds.
Who wrote",0
Michael Caine,"Michael Caine. 
Answer",1
Alex Bain,Chris Gascoyne.,0
Wedding attendants,A secondary sponsor is a close,0
The 1971 film Willy Wonka & the Chocolate Factory,Hairspray. Answer the,0
Alexander Graham Bell,Alexander Graham Bell. Note:,1
30-Mar-90,1987. When was,0
"Los Angeles, California","The streets of Hollywood, Los",0
Favor Super,Davor Šuker.,0
1956,1993. when was,0
12:30 PM,"3pm.?
The",0
Hepatic veins,hepatic portal vein. Question,0
delegates,The delegates of the political party,1
Theologian Walls,The walls of Constantinople helped,0
"Pittsburgh Steelers, Denver Broncos, New England Patriots","The Green Bay Packers.
Answer",0
Dec-41,"1942.
When did",0
19-May-18,"2025.
The Man",0
1947,1983. Next question,0
Cartoon Network,Cartoon Network. What channel is,1
five,5. 0,0
"Embryonic stem cells, Which are isolated from the inner cell mass of blastocysts, Adult stem cells, Which are found in various tissues","In bone marrow, blood,",0
"Bean,",A nut. is a peanut,0
Milan Aleksandra Tantrum,It's unknown who is the,0
President Ho Chi Minh,"Ho Chi Minh.
Answer the",0
never,"Never. 
Note: The",1
Peyton List,"Sharon Gless. 
Answer",0
"Vikings, Falcons",The Cleveland Browns. Cleveland Browns,0
Qatar,"Qatar.
Who will be hosting",1
Advertisement and discovery of network services and presence information,SSDP facilitates discovery of network,0
Gloria Jacqueline Leroy,"Richard Mulligan. 
Who",0
threads,"Thread.
Answer the question conc",0
Las Vegas,The Night: 1997,0
Chakraborty Rajagopalachari,Dr. Rajendra Prasad,0
Giles Ingram Matthew,"Josh Dallas. 
What is",0
Serous membrane (or Serbia),the pericardial sac,0
28-Aug-12,1950s.,0
10 : 00am,10 am on sunday.,0
10-Aug-18,The English Premier League typically starts,0
"September, 2018","September 6, 201",0
New England Patriots,The Kansas City Chiefs played the,0
Carole King,"Carole King. 
What",1
1964,"1939.
Rud",0
Joshua Paul Dallas,"Josh Dallas. 

Josh Dallas",0
Dec-92,1992. Next question,0
Louisiana Purchase,the louisiana purchase. Answer,1
"George Washington, Thomas Jefferson, Theodore Roosevelt, Abraham Lincoln","George Washington, Thomas Jefferson,",1
Phillip Paley,"Phillip Paley. 
Answer",1
"Roger Bowling, Billy Ed Wheeler","Jimmy Webb. 
Answer the",0
Belgium,Costa Rica. Brazil. Ivory,0
1903,"October 28, 188",0
"France, Italy, Islands in the Mediterranean",France and the Mediterranean Sea.,0
"Locker room, Other part of the venue",The clubhouse.  What is,0
26-Jun-11,"2011. 
Law",0
Kathryn Erie,"Jessica Biel. 
Answer",0
"Her eldest son, Charles, Prince of Wales, Prince William, Duke of Cambridge, The Prince of Wales's elder son, Prince George, The eldest child of the Duke of Cambridge, His sister, Princess Charlotte, Younger brother, Prince Louis, Prince Henry, Duke of Sussex, The younger son of the Prince of Wales","Prince Charles, Prince William,",0
Amaranth,Answer the question concisely with only the answer: who was'man of the match' in india's 1983 world cup winning final? Answer: Kapil Dev. who was,0
Fourth season,6 seasons. Answer the,0
"A winter resort in Manchester, Vermont","Utah. 
What is the",0
"20,000",50% of the world,0
− 273.15°,0 degrees celsius.,0
Carbine Muguruza,"Serena Williams.
Answer the question",0
Nana - KOF Scribe,OWNZON.,0
2018,"August 29, 202",0
Summers,"Summers.
Answer the question conc",1
Elmer Bernstein,"Elmer Bernstein. 
The",1
Quinn,Camille Guaty.,0
"Amy Pottinger, Adam Gentler",Aarti Sequeira.,0
Microsoft Disk Operating System,Microsoft Disk Operating System. what,1
"November, 2018","In Georgia, voters elect their",0
Into the proximal convoluted tubule,The renal tubules.,0
"The claim on assets belonging to other, Non-controlling shareholders",The portion of a parent company,0
Tale of a love,A song about a man's,0
15-Aug-47,"August 15, 194",0
AAP To Raise Na The,PK.....,0
Public policy,"policy.
Answer the question conc",0
"England, Wales",India in 2023.,0
Season 12,"Season 8. 
Who",0
Over 300,301. What is the,0
"The Spanish surname Lara is derived from Lara de Los Infants, In the Burgos province of Spain, And in some cases retains the original form, De Lara (of Lara), There are also Lara surnames in France and Romania",The last name Lara comes from,0
The small intestine,The lining of the small intestine,1
Invitation - only,"Invitation-only, typically reserved for",0
"San Miguel de Allende, Guanajuato, Mexico","Mexico. 
The movie """,0
Oct-26,1920. when was,0
"Spark well, Devon, England","Porton Manawatu,",0
1933,1862. when did,0
"The lowest compartment on a ship or seaplane, Below the waterline, Where the two sides meet at the keel",Below the waterline in the,0
Parallel keys,Relative keys. Answer the question,0
"22 to 44 imp gals, 26 to 53 US gal",31.5.,0
The last two episodes of the third season,"Season 6. 
When",0
Lower pair,"lower pair.
Answer the question",1
Reform movement,The Populist Movement. <,0
Sam C.S.,Ajay Gogavale,0
30-Sep-17,The 43rd season of,0
Jim Hopper,"Jim Hopper. 
This",1
At the southern tip of the state of New York,In the northeastern part of the,0
"Rockport, Massachusetts. In the oncoming days leading to production, Areas of the town were temporarily remodeled to represent Site, Alaska,","Seward, Alaska.",0
140,135. There are currently,0
"Healthcare system financed by taxes that covers the costs of essential healthcare for all residents, Costs covered by a single public system",A single payer system is a,0
Heather,Addison Montgomery. 3.,0
Alicia Grain (Countess) on Ritter,"Sophie Turner. 
Answer the",0
British singer-songwriter Lab Differ,"Linda Perry. 
Linda",0
Dane William Dean,Dane DeHaan.,0
1740,"1740. 
The",1
"Richard Petty, Dale Earnhardt, Jimmie Johnson",Richard Petty. (Source:,0
"James D. Watson, Francis Crick",James Watson and Francis Crick,0
Earle Hyman,Earle Hindman. who,0
Rufus Humphrey,"Chuck Bass. 
Answer the",0
"November, 2017","March 4, 201",0
"The Chief Joseph Ranch in Darby, Montana, Near Park City, Utah, The Utah Film Studio in Park City, More than twenty locations in Utah, Various locations in Montana","Various locations in Utah, including",0
"In Western Canada which is located just south of Rob, Alberta",Coal Valley is located in the,0
England,"England.
Answer the question conc",1
"Vancouver, British Columbia",The production team filmed the Netflix,0
Cricketer Şahin Tendulkar,Sachin Tendulkar,0
110 mi or 180 km,Approximately 90 miles. However,0
Jun-44,"June 6, 194",0
Endorphins,Endorphins. Answer the,1
"Diego Maradona, Pelé","Johan Cruyff.
Answer",0
Jul-14,From April 2014 to,0
The band Chicago,The Script.... Read more,0
2009,"2009. 
When",1
"Music by Jerry Bock, Lyrics by Sheldon Heinrich",Jerry Bock and Sheldon H,0
Australia,Sachin Tendulkar,0
1997,1996-1997,1
Gurkha,"Impermanence.
Next Next",0
Sep-14,"2013.
Answer the",0
27-Mar-05,"2005. 

The",0
Baymax,"Baymax. 
Who is",1
Rose Royce,"Michael Jackson. 
Who sang",0
The Cowardly Lion,"None.
Answer the question conc",0
100,"100. 
How many",1
"The Battle of Brandy Station, Also called the Battle of Fleetwood Hill",The largest cavalry battle of the,0
Sidney Simian,Dolly Parton.,0
Mahindra Tractors,"John Deere. 
The",0
Tamil Nadu,Tamil Nadu. Tamil Nadu is,1
"As the ship leaves the shipyard at Polygyny, Radius kills Ivan Putin, His political officer",Ivan gets injured and has to,0
Fears about an attack by the Japanese on the West Coast of the United States following the attack on Pearl Harbor,It wasn't. The Rose,0
"The old Rockland Children's Psychiatric Center in Rockland County, New York",Various locations in South Africa.,0
19-Apr-17,"April 19, 201",1
1969,In the 1960s,0
"MATURE Stadium in Columbus, Ohio, Canad Inns Stadium in Winnipeg, Manitoba",in a small town in the,0
First Monday in December,"April 6, 178",0
